step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,nan,nan,8.23e+13,8.26e+13,819200
200,nan,nan,1.65e+14,1.65e+14,1638400
300,nan,nan,2.47e+14,2.48e+14,2457600
400,nan,nan,3.29e+14,3.31e+14,3276800
500,nan,nan,4.11e+14,4.13e+14,4096000
600,nan,nan,4.94e+14,4.96e+14,4915200
700,nan,nan,5.76e+14,5.78e+14,5734400
800,nan,nan,6.58e+14,6.61e+14,6553600
900,nan,nan,7.41e+14,7.44e+14,7372800
1000,nan,nan,8.23e+14,8.26e+14,8192000
1100,nan,nan,9.05e+14,9.09e+14,9011200
1200,nan,nan,9.88e+14,9.92e+14,9830400
1300,nan,nan,1.07e+15,1.07e+15,10649600
1400,nan,nan,1.15e+15,1.16e+15,11468800
1500,nan,nan,1.23e+15,1.24e+15,12288000
1600,nan,nan,1.32e+15,1.32e+15,13107200
1700,nan,nan,1.40e+15,1.40e+15,13926400
1800,nan,nan,1.48e+15,1.49e+15,14745600
1900,nan,nan,1.56e+15,1.57e+15,15564800
2000,nan,nan,1.65e+15,1.65e+15,16384000
